progressively brighter RED from 1024 to 0

1024,1024,1024
1020,1024,1024
1010,1024,1024
1000,1024,1024
900,1024,1024
800,1024,1024
700,1024,1024
600,1024,1024
500,1024,1024
400,1024,1024
300,1024,1024
200,1024,1024
100,1024,1024
0,1024,1024


progressively brighter GREEN from 1024 to 0
1024,1024,1024
1024,1020,1024
1024,1010,1024
1024,1000,1024
1024,900,1024
1024,800,1024
1024,700,1024
1024,600,1024
1024,500,1024
1024,400,1024
1024,300,1024
1024,200,1024
1024,100,1024
1024,0,1024

progressively brighter BLUE from 1024 to 0
1024,1024,1024
1024,1024,1020
1024,1024,1010
1024,1024,1000
1024,1024,900
1024,1024,800
1024,1024,700
1024,1024,600
1024,1024,500
1024,1024,400
1024,1024,300
1024,1024,200
1024,1024,100
1024,1024,0
